SMILES,CID,Self interaction (eV),BE with FA+ (eV),BE with PbI2 (eV)
CC(C)CCOC(=O)C,31276,-0.207,-1.141,-0.922
CC1=CC(=NC=C1)C,7936,-0.499,-1.150887999,-0.904818916
CC1=CC=C(O1)CN(C)C,151918,-0.406,-1.114,-1.242
CC(=O)C1CCCC1,22326,-0.341,-1.15,-0.905
CCOC(=O)C(C)S,519709,-0.121,-1.1,-1.197
CC1=NC=CN=C1C,22201,-0.273,-1.108,-1.23
CCN(C(=O)C)O,155742,-0.317,-1.138458441,-0.920778486
CCOC(=O)C[C@@H](C)O,440030,-0.336,-1.176410573,-0.865171291
COC1OCCO1,29744,-0.425,-1.107493446,-0.988304243
CCCC(=O)OCC(F)(F)F,193290,-0.507,-1.087,-1.118
CC1=CC(=NN1CC=C)C,25930,-0.532,-1.142992622,-0.910431357
CC(=C)C(=O)N(C)C,81465,-0.505,-1.122433406,-0.946214673
CCCCOC(=O)C=CC,23726,-0.431,-1.135,-0.92
CC/C=C/C=C/CO,5367391,-0.15,-1.097,-1.211
CCN1CCC(=O)CC1,77159,-0.223,-1.159,-0.88
CCCC(=S)OC,7567803,-0.647,-1.15,-1.328
CC1=CC(=CN1)C,39539,-0.107,-1.097,-1.215
CC(C)C/C(=N/O)/C,5354076,-0.377,-1.092,-1.023
CCOCC(C)OC(=O)C,171378,-0.132,-1.179147745,-0.851899633
CC1=CC=C(S1)C=O,61663,-0.582,-1.191,-0.838
C1C[C@H]2C[C@@H]1CC2=O,11789152,-0.252,-1.161,-0.872
CC(=C)COC(=O)C,69962,-0.457,-1.168,-0.863
C[C@H]1CCCC(=O)O1,7269384,-0.388,-1.133092444,-0.913051165
C1C[C@@H](OC1)CN,2734124,-0.366,-1.843,-0.994
CC(=C)C(=O)NC,77495,-0.545,-1.123695738,-0.929257763
CC=CC(=O)OC(C)C,86651,-0.207,-1.127,-0.921
COC(=O)N1CCCCC1,232666,-0.173,-1.232,-1.422
COC(=O)CC#N,7747,-0.502,-1.081,-1.055
COC1CNC1,13401996,-0.227,-1.077,-1.1
CCOC(=O)C#CC,78043,-0.358,-1.136,-0.902
CCOC(C#N)OCC,80223,-0.505,-1.087,-1.018
CCOC(=O)C(C)(C)CO,274432,-0.53,-1.149240179,-0.881069433
C[C@@H](CO)C(=O)OC,10192563,-0.719,-1.104766699,-0.961282091
CCCC1=NC=CN=C1,87466,-0.275,-1.092,-1.223
C[C@H](CCN)CO,11457670,-0.357,-1.135,-1.32
CCOCCC(OCC)OCC,24624,-0.032,-1.078,-1.162
C/C=C/C(=O)OC(C)C,5354359,-0.385,-1.128,-0.911
C1CCC(CC1)O,7966,-0.175,-1.074,-1.078
C1C(OCO1)CO,21618,-0.302,-1.157,-0.865
CC1=CC=C(O1)CO,520911,-0.425,-1.107584671,-0.94433174
CO[Si](C)(C)C1=CC=CC=C1,140300,-0.36,-1.114843473,-0.927494087
C[C@H]([C@@H](C)O)O,225936,-0.6,-1.235,-1.433
C(CCF)CO,9755,-0.43,-1.137403369,-0.888462317
C1=CN=C(C=N1)C(F)(F)F,17888936,-0.372,-1.072,-1.146
CC(=O)CCC(=O)C,8035,-0.742,-1.114764976,-0.923961234
CC=CC=CCO,8104,-0.3,-1.084,-1.219
C1CC2C[C@@H]1[C@@H](C2)O,12313480,-0.201,-1.069,-1.099
C1=CC(=NC=C1C=O)F,16414246,-0.325,-1.071,-1.155
CC1(CC(=O)CC(O1)(C)C)C,11829691,-0.43,-1.089,-1.238
CCC1CCC(CC1)O,78293,-0.151,-1.089,-1.239
CC(C)CCOC(=O)C=C,77920,-0.069,-1.122,-0.908
CCC(C)OC(=O)C=CC,139137,-0.127,-1.137,-0.884
CCCC(CC)O,12178,-0.056,-1.089,-1.241
CC1=NC=CC=N1,78748,-0.298,-1.113,-1.297
CC[Si](OC)(OC)OC,79204,-0.044,-1.12427655,-0.902885478
CCCCC(OC)(OC)OC,83755,-0.048,-1.067,-1.096
C1C2CC(=O)C1C=C2,136511,,-1.13,-0.891
CCC(C(=O)CC)O,95609,-0.324,-1.120745316,-0.903624549
CC(C(C)S)O,62087,-0.001,-1.135,-1.339
CCC(=O)C(=O)CC,62539,-0.515,-1.088,-0.972
CCOC(=O)CC=C,74172,-0.472,-1.161,-0.846
CC1=C(SC=C1)C#N,521617,-0.345,-1.067,-1.057
CCCOC(=O)C(=C)C,16638,-0.475,-1.074,-1.206
CC1=CC(=NN1C)C,14081,-0.585,-1.140410414,-0.869983136
CCS(=O)CC,6263,-0.55,-1.776,-1.38
CCCC(=O)OC(C)C,61184,-0.116,-1.116,-0.906
CC1C(CCO1)S,62128,-0.5,-1.117164815,-0.903017715
CCC1(CCCC1)O,137018,-0.265,-1.101,-1.289
CCCCOCCC#N,23395,-0.51,-1.216,-0.787
CC1CCC(CC1)O,11524,-0.249,-1.08,-1.24
CN1CCCC1CO,97836,-0.254,-1.059,-1.126
CC1=NC=CN=C1,7976,-0.316,-1.082,-1.247
CCC(O)O,134919,-0.145,-1.058,-1.13
CCCC(CCC)O,11513,-0.031,-1.079,-1.243
CC(C(=O)OC)(OC)OC,82339,-0.545,-1.163313416,-0.832365252
CC(C)(C)OC(=O)NC,527635,-0.059,-1.119683379,-0.889683931
CCC(=O)N(CC)CC,66191,-0.353,-1.120946395,-0.887329977
CC(C)C[SiH2]C(OC)OC,57370795,-0.25,-1.111171018,-0.902894533
CCN1CCC[C@H]1CN,643457,-0.142,-1.298,-1.487
CC(C)(C)C(CO)N,4149212,-0.244,-1.733,-1.431
C[Si](C)(C)C#CCCO,2760827,-0.391,-1.146099117,-0.850285705
C(CS)CS,8013,-0.39,-1.055,-1.122
CCOC(OCC)OC(=O)C,84166,-0.137,-1.134328003,-0.865052445
CC1=CSC(=C1)C=O,2795526,-0.505,-1.14,-0.857
CCC[C@H](C)O,2724896,-0.13,-1.067,-1.213
C1C2(CN1)COC2,23111887,-0.338,-1.086,-1.272
CC[C@@H](CO)O,6993189,-0.256,-1.246,-1.462
C1CCC(=O)C1,8452,-0.479,-1.117,-0.887
CC1(C(=O)C=CO1)C,147604,-0.393,-1.110662297,-0.897247817
CC(=C)C(=O)NC(C)(C)C,81043,-0.048,-1.13543356,-0.8597736
CC(C)(C#C[Si](C)(C)C)O,332724,-0.775,-1.11,-0.897
CCC[Si](C)(OC)OC,2760474,-0.413,-1.052,-1.135
CC(C(=O)C)S,38679,-0.416,-1.068,-0.992
CCCCN1CCOCC1,70499,-0.116,-1.057,-1.183
CO/C=C/C#N,5324713,-0.59,-1.148,-0.841
COC1CCC(=O)CC1,535028,-0.367,-1.125,-0.871
C[C@@H](CN(C)C)C(=O)OC,7057980,-0.199,-1.11,-0.894
C/C=C(\C)/C(=O)OCC=C,5364729,-0.306,-1.109,-0.895
CC(C)C[C@@H](C(=O)OC)N,65105,-0.689,-1.115,-0.885
CC(C)(C)[Si](C)(C)OCCN,529218,-0.401,-1.86,-0.953
COC(C=O)OC,162650,-0.423,-1.153,-0.833
COC=CC(=O)OC,2724617,-0.585,-1.096,-1.307
CCC(=O)C(C(=O)OC)(F)F,2775364,-0.655,-1.052,-1.047
C1COC[C@H]1N,14243168,-0.407,-1.062,-1.222
CC1COCCN1,292103,-0.347,-1.057,-1.205
CCC(C=C)O,12020,-0.16,-1.084,-1.286
CCN1C=CC=C1,185226,-0.395,-1.046,-1.124
COP(O)OC,94853,-0.329,-1.145,-0.836
C1=CNC(=C1)C(=O)C(F)(F)F,137637,-0.625,-1.179,-0.8
CC(CC#C)O,92915,-0.762,-1.1,-0.894
CN1CCC[C@@H](C1)O,6950810,-0.238,-1.052,-1.207
CC(C)C(CO)N,79019,-0.357,-1.041,-1.099
[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],75151,-0.529,-1.717,-0.758
C1CC2CC1CC2O,79028,-0.184,-1.043,-1.163
COC(=O)C1=CCCC1,549129,-0.169,-1.112,-0.871
CC[C@H](C)C(=O)OCC,6429107,-0.359,-1.108,-0.876
CCC(=O)OCC#C,74735,-0.251,-1.146,-0.823
CC(=O)NC(C)(C)C,12985,-0.304,-1.102203411,-0.877182851
CC1COS(=O)O1,15117,-0.725,-1.07,-1.282
CCOC(=O)C(C(F)(F)F)F,520974,-0.001,-1.045,-1.01
C1CCC(C1)CO,77195,-0.393,-1.054,-1.244
CC(C)CC=CC(=O)OC,111609,-0.451,-1.099,-0.877
CC(C)OC(=O)OC(C)C,536818,-0.23,-1.039,-1.192
C[C@H](CO)C(=O)OC,5324733,-0.503,-1.105285048,-0.865812508
CCOC(CO)OCC,12129,-0.902,-1.105003943,-0.863474938
CC(C)(CCO)O,247470,-0.536,-1.054,-1.255
CCOC(=O)OCC=C,137020,-0.396,-1.112,-0.853
CCC(C)(C(=O)C)C(=O)OCC,582452,-0.166,-1.127974987,-0.830734949
CCOC1CCC=CO1,7676,-0.069,-1.195,-0.764
CC1CC(OC=C1)OC,547114,0,-1.028,-1.117
CCC(C)(C)C(=O)OCC,12647075,-0.048,-1.122,-0.837
C1CC1O,123361,-0.19,-1.028,-1.135
CCOP(=O)(N)OCC,70605,-0.386,-1.815,-1.389
CCC(=O)OCC(C)C,10895,-0.523,-1.104,-0.858
C1=CC=C(C(=C1)C=O)F,67970,-0.445,-1.032,-1.035
C1CCN[C@H](C1)CN,7048532,-0.165,-1.171,-1.439
C1CC2CC1[C@H]3[C@@H]2O3,6432296,-0.223,-1.025,-1.088
CN1CCC(CC1)CO,271971,-0.663,-1.024,-1.13
CCCCCO,6276,-0.302,-1.039,-1.228
CC(C)C[Si](OC)(OC)OC,87622,-0.463,-1.102861035,-0.855076156
C[Si](C)(C)CCO,18013,-0.299,-1.066,-1.303
CCOC(=O)C1(CC1)N,386204,-0.535,-1.792,-1.423
COC1CCC=CO1,91538,-0.001,-1.154,-0.789
C1C[C@H]2C[C@@H]1C3C2O3,11094562,-0.19,-1.022,-1.161
C1C[C@H]2C[C@@H]1CC2O,10898676,-0.212,-1.021,-1.068
C[C@@H]1COCCN1,641498,-0.323,-1.026,-1.19
C[Si](C)(C)OC=C,80344,-0.323,-1.019,-1.081
C/C=C\CO,643789,-0.365,-1.023,-1.182
CC(C)NCCCCO,12950986,-0.223,-1.03,-1.222
CCOC(=O)CCSC,61592,-0.029,-1.281,-0.695
C1COCC1N,3365553,-0.554,-1.061,-1.314
CC1CCCC1=O,14265,-0.184,-1.123,-0.81
CCCC(OC)(OC)OC,123512,-0.383,-1.159,-0.772
CCN1CCCC(C1)O,114524,-0.138,-1.181,-0.751
COC(=O)CCC(=O)OC,7820,-0.723,-1.009,-1.106
CCCCCC=O,6184,-0.113,-1.019,-1.014
CC(C1CCCCC1)N,110733,-0.158,-1.239,-1.51
COCC=CC(=O)OC,551199,-0.021,-1.155,-0.77
CC(CC(=O)OC)N,12500430,-0.374,-1.08,-0.858
C1CCC2(CC1)OCCO2,9093,-0.213,-1.007,-1.159
CN(C)CCC(=O)OC,199226,-0.035,-1.118,-0.804
CCOC(=O)CCS,21625,-0.352,-1.005,-1.159
CCOC(=O)OCC(F)(F)F,21263423,-0.289,-1.002,-1.101
C[C@@H]1CNC[C@@H](N1)C,6950261,-0.404,-1.25,-1.524
CC/C=C/C(=O)OC,5364718,-0.046,-1.084,-0.837
C1COCCC1C#N,11815837,-0.381,-1.002,-1.179
CCCNCCN,66073,-0.362,-1.919,-1.259
COC(=O)C1CCCC1,78365,-0.236,-1.07,-0.85
C/C(=N\O)/C(C)(C)C,9561079,-0.199,-1.012,-1.256
CC(C)/C=N/O,5324282,-0.271,-1.018,-0.944
C1=CC(=CC(=C1)F)C=O,68009,-0.285,-0.99,-1.071
C1=CSC=C1C#N,74231,-0.215,-1.003,-0.992
CCC(CC)OC=O,13878880,-0.372,-0.991,-1.056
CC(C)(C)OC(N(C)C)N(C)C,79885,-0.048,-1.079,-1.392
CC(C)CCC#N,10956,-0.215,-0.991,-1.032
C[C@@H](CC(C)O)O,44297437,-0.43,-1.052,-1.362
CC1=C(SC=C1)C=O,79911,-0.26,-1.137,-0.75
CC(C)[C@@H](CO)N,640993,-0.68,-1.002,-1.267
C=NCC#N,8015,-0.479,-0.994,-1.246
CC1CNCC(N1)C,66056,-0.314,-1.249,-1.553
CCCCCOC=O,12529,-0.189,-0.976,-1.066
CC(C)CN1CCNCC1,2052052,-0.19,-1.26,-1.563
COCCCCO,8107,-0.356,-0.972,-1.066
CC(=O)CC(=O)C(F)(F)F,73943,-0.63,-1.136,-0.731
CC1(COS(=O)OC1)C,10877294,-0.575,-1.105,-0.76
CC(=NO)C(C)(C)C,137609,-0.195,-1.108,-0.756
C1CC1CC#N,643447,-0.384,-0.967,-1.051
C=COCCCCO,87329,-0.561,-0.972,-1.203
CC(C)OC1CNC1,51358586,-0.478,-0.965,-1.069
CC(C)(C)OC(=O)C#C,543038,-0.258,-0.972,-1.014
CCOC(C)(C#N)OCC,566609,-0.56,-0.965,-1.062
CSCSC,15380,-0.641,-1.177,-1.525
C[C@H]1C(=O)CCO1,7060523,-0.336,-0.961,-1.133
CCN(CC)CC(OC)OC,21281611,-0.295,-0.956,-1.098
CCCOCCO,17756,-0.17,-0.955,-1.163
C1COCC1=O,529392,-0.358,-0.943,-1.116
CCC(OC)(OC)OC,141145,-0.355,-0.946,-1.029
CCC(=O)C=CC,17244,-0.041,-0.946,-1.201
COC(OC)(OC)OC,74613,-0.332,-0.933,-1.145
CC1CC(=O)O1,18303,-0.296,-1.145,-0.681
C1C(O1)CCC2CO2,15903,-0.324,-0.929,-1.155
CCOCCOCCOCC,8179,-0.034,-0.942,-0.973
CCO/C=C/C(=O)OCC,5366269,-0.515,-0.95,-0.942
CCOC(=CC(=O)OCC)C,79137,-0.036,-0.923,-1.142
CC(C(=O)C)O,179,-0.514,-1.151,-0.663
CC(C)CC(=O)C(=O)C,26204,-0.275,-0.927,-1
C(C(F)(F)F)(C(F)(F)F)(N)O,2782456,-0.242,-0.94,-0.933
CN1CC[C@@H](C1)O,643504,-0.86,-1.793,-1.566
C1CCC(=NO)C1,14500,-0.156,-1.114,-0.679
CCOC(=O)C=O,70211,-0.502,-0.914,-1.04
CN(C)CC(OC)OC,123476,-0.199,-0.907,-1.052
CN(C)CCCC#N,56430,-0.469,-0.905,-1.06
CC1=CC=C(O1)CN,2724683,-0.402,-1.208,-1.617
CC1=CC=C(O1)C#N,642108,-0.407,-0.925,-0.939
CCOCCOCCOC,13847,-0.034,-0.901,-1.052
C1=CC(=C(C(=C1)F)F)C#N,88935,-0.295,-0.921,-0.946
C1=CC(=C(N=C1)F)C#N,2783254,-0.237,-0.912,-0.974
C1=CSC=C1C=O,68135,-0.249,-0.897,-1.061
C(=O)(C(F)(F)F)NN,229753,-0.985,-1.022,-1.48
CN(C(=O)C(F)(F)F)[Si](C)(C)C,32510,-0.225,-1.061,-0.692
CN(C)CCC#N,15615,-0.493,-0.89,-1.03
C/C(=N/O)/C(C)(C)C,5354653,-0.28,-1.109,-0.639
CCOC(=O)/C=C/C=C/C,1550470,,-1.194,-0.582
CCO/C=C/C#N,5324714,-0.464,-1.186,-0.586
CC(C)(C)OCCOCCOC,104324,-0.045,-2.036,-1.299
COC=CC#N,2723755,-0.199,-0.866,-1.163
C[C@@H](C(=O)C)O,447765,-0.531,-0.877,-0.959
CC(C=C)(C#C)O,97815,-0.205,-0.861,-1.046
CCOC(=O)OC,522046,-0.033,-0.859,-1.069
CC1SCCS1,21828,-0.344,-0.867,-1.231
CO/C=C/C(=O)OC,5323651,-0.284,-0.896,-0.856
CC(C)/C=C/C(=O)OC,5362843,-0.038,-0.901,-0.844
C(C(C(CO)(F)F)(F)F)O,136270,-0.597,-0.911,-0.82
CC(C)(C)C(=O)CC(=O)OC,99597,-0.486,-1.191,-0.544
CC(=O)CC(=O)C(C(F)(F)F)(F)F,2769662,-0.644,-0.839,-1.028
COC1=NC(=CC=C1)F,14296367,-0.212,-0.87,-0.887
CCOC(=O)C(=O)C(F)(F)F,2737239,-0.637,-0.824,-1.052
CCOC(=O)C#CC(F)(F)F,3597254,-0.161,-0.829,-1.003
COCCCCCCOC,542359,-0.229,-0.82,-1.051
CC=CC=CC(=O)OC,61197,-0.495,-1.15,-0.54
CCC=CCCC=O,71590,-0.153,-0.816,-1.06
C1CC(CCC12OCCO2)(F)F,22225014,-0.239,-0.813,-1.05
C1CCC(CC1)C=O,16275,-0.248,-0.805,-1.049
CC(=NC#N)OC,93008,-0.202,-1.238,-0.48
COC(=O)OCC=C,534788,-0.386,-0.796,-1.059
CC(C)C/C=C/C(=O)OC,5702852,-0.045,-0.801,-1.212
CCOC(=O)CC1CC1,12453023,-0.467,-0.807,-1.273
CCOC(CN(C)C)OCC,77163,-0.059,-0.788,-1.068
B(CC(C)C)(O)O,2734395,-0.581,-0.783,-1.02
B(CC(C)(C)C)(O)O,16218386,-0.221,-0.782,-1.026
C1=CC(=C(N=C1)F)C=O,11434944,-0.237,-0.781,-1.03
C1=CC(=NC=C1C#N)F,15765964,-0.348,-0.772,-1.065
CCNCCOC,546877,-0.039,-1.163,-1.741
C1=C(N=CN=C1F)F,137717,-0.315,-0.759,-1.047
CC1=NC(=CC=C1)OC,5324773,-0.469,-0.788,-0.893
CC(C)OCCOCCOC,3018692,-0.035,-0.759,-0.998
COC(=O)C[Si](C)(C)C,76210,-0.255,-0.749,-1.145
C1CC(CCC1CO)(F)F,21184133,-0.321,-0.816,-0.797
CC1=CN=C(C=C1)C,11526,-0.419,-0.811,-1.413
CO[Si](CCC(F)(F)F)(OC)OC,67933,-0.225,-0.783,-1.345
CCN1CC=CC=C1,18172714,-0.438,-0.769,-1.332
CCOC(=O)C=CC=O,53438123,-0.319,-0.768,-0.883
CCC1=NC=CN=C1,26331,-0.301,-0.881,-0.653
C1=C(C(=C(C=N1)F)C#N)F,53410102,-0.317,-0.773,-0.84
CCCC=CC(=O)OCC,519129,-0.03,-1.128,-0.444
CC(C)C=NO,9023,-0.271,-0.739,-0.942
C=CC(=O)OCC(C(F)F)(F)F,81865,-0.261,-0.794,-0.785
COC1=NCCC1,353443,-0.05,-0.75,-1.321
CCOC(=O)C=C1CCC1,15724666,-0.038,-0.731,-0.96
COC(=O)CCSC,61641,-0.028,-0.719,-1.178
COC(=O)CCCC=C,520082,-0.386,-0.715,-1.181
COC(=O)OCC(F)(F)F,17761042,-0.236,-0.948,-0.556
CCC(=O)SCC,75513,-0.246,-0.703,-1.129
C1CNCCC1(F)F,2758352,-0.312,-0.782,-0.755
C=COCCOCCOC=C,12998,-0.582,-0.75,-0.817
C1C(CC1(F)F)CO,45480377,-0.454,-0.732,-0.85
COC1=CC=CC=C1,7519,-0.36,-0.691,-0.97
C1=CC(=NC(=C1C=O)F)F,10701929,-0.411,-0.716,-0.865
CCOC(=O)CCC(F)(F)F,2733273,-0.134,-0.874,-0.58
COCC#N,74442,-0.306,-0.67,-1.054
CCOC(=O)/C=C/C(F)(F)F,5371261,-0.135,-0.67,-1.052
CC1=NC=CC(=C1)OC,4737758,-0.319,-0.696,-0.858
CCOC1=NC=CN=C1C,122941,-0.059,-0.667,-0.973
CC(=O)SC,73750,-0.5,-0.648,-1.098
C(CO)CF,68042,-0.312,-0.685,-0.865
CCOC=CC(=O)OCC,221780,-0.058,-0.655,-0.943
CC1=NC=C(C=C1)F,2762863,-0.427,-0.654,-1.31
C1CC2=CC=CC=C21,69667,-0.188,-0.655,-0.901
CCOC1=NC=CS1,61809,-0.207,-0.668,-0.835
CC1=CC(=CN=C1)F,2762892,-0.21,-0.635,-1.267
CC1=NC=CN=C1OC,17898,-0.496,-0.607,-0.965
C1C(=O)CO1,15024254,-0.275,-0.598,-0.996
CC1=C(C=CC(=C1)F)O,136295,-0.345,-0.611,-0.895
CC(C)C=CC(=O)OC,535005,-0.501,-0.634,-0.81
C=CCN=C=O,15123,-0.37,-0.592,-0.897
CC1=CC(=C(C=C1)F)O,182387,-0.243,-0.599,-0.865
C[C@H](CC(=O)OC)N,9118388,-0.454,-0.624,-0.787
C(C(F)(F)F)NN,78740,-0.455,-0.634,-0.747
CC1=CC=C(O1)C(=O)OC,137628,-0.449,-0.575,-0.859
CCOC(=O)C1CCC=CC1,85803,0.042,-1.213,-0.183
C1CC(CCC1=O)(F)F,15789092,-0.353,-0.575,-0.747
CCC(CS)S,61829,-0.001,-0.857,-0.346
C(CC(C(F)(F)F)(F)F)CO,547967,-0.393,-0.625,-0.596
CC(C)(C)OC(=O)N1CC(C1)(F)F,58394876,-0.218,-0.53,-0.779
CCOC(=O)C=CC(F)(F)F,141226,-0.138,-0.436,-1.062
CC(C)CC(=NO)C,7756,-0.262,-0.423,-0.938
C1=C(C=C(C=C1F)F)O,75928,-0.383,-0.48,-0.728
C1CC=CC=C1,11605,-0.25,-0.413,-0.94
COC(=O)C1CC(=C)C1,11051654,-0.411,-0.431,-0.838
CC(C)(CO)C(F)(F)F,59951355,-0.313,-0.525,-0.573
C(CC(F)(F)F)CO,136307,-0.371,-0.499,-0.604
CC1=C(C=NC=C1)F,345367,-0.371,-0.414,-0.726
CN(C)CC(=O)OC,81569,-0.027,-0.363,-0.826
C1=C(C(=NC(=C1F)F)F)F,137749,-0.313,-0.442,-0.569
C1=CC(=CC=C1C#N)F,14517,-0.411,-0.257,-0.639
C1=C(C=NC(=C1F)F)F,2783287,-0.306,-0.221,-0.634
