SMILES,CID,Self interaction (eV),BE with FA+ (eV),BE with PbI2 (eV)
CCN(CC)C(=O)C=C,17583,-0.288,-1.284,-1.233
CO[Si](C)(C)O[Si](C)(C)OC,519526,-0.485,-1.366,-0.91
CCC=CC=CCO,118487,-0.162,-1.272,-1.218
COC(=O)[C@H]1CO1,9877347,-0.244,-1.302,-0.959
CC1(CCC(=O)C=C1)C,136839,-0.311,-1.246,-1.146
CCCCOC(=O)C(F)F,2773445,-0.483,-1.246,-1.072
CC(=O)C1CC2CC1C=C2,107366,-0.235,-1.245,-1.075
CCCOCC(C)O,15286,-0.039,-1.469,-1.338
CC(C)OCCO,7996,-0.306,-1.287592026,-1.246924874
CCC(C)COC(=O)C,12209,-0.242,-1.245,-1.148
CCCC(=O)C(=O)C,19707,-0.683,-1.269693028,-1.21943745
C1COCCC1=O,121599,-0.327,-1.247,-1.163
CCOC(=O)C=CC=CC,16970,-0.035,-1.291108442,-1.254067692
CCOCCOC(=O)C=C,7827,-0.197,-1.683,-1.024
CC(C(=O)O)OC,92209,-0.754,-1.290339645,-1.254267086
CC(C)(C)N1CC(C1)O,287986,-0.37,-1.273,-1.231
CC(CC(C)O)O,12262,-0.033,-1.515,-1.337
COC(=O)C1CO1,145751,-0.349,-1.301,-0.951
CCCCC(=O)C(=O)C,60983,-0.758,-1.274343444,-1.235087341
CC(=O)C(=O)OC,11748,-0.541,-1.239,-1.086
CCOC(=O)C1=CC=CO1,11980,-0.442,-1.28,-1.245
CC(C)(CO)O,68410,-0.589,-1.294,-1.263
CCC[Si](OC)(OC)OC,61254,-0.612,-1.255324454,-1.205088446
CC(=O)CCSC,61922,-0.611,-1.324,-0.926
CCCOC(=O)OCCC,69344,-0.057,-1.259,-1.214
CCOC(=O)CCO,12870589,-0.156,-1.645,-1.268
COC(=O)CCC=C,543664,-0.049,-1.234,-1.099
CC[Si](CC)(CC)O,69005,-0.234,-1.281,-1.252
CCN(CC)CCCC(=O)C,7739,-0.334,-1.683,-1.007
C1CC(=O)COC1,90109,-0.453,-1.233,-1.107
CCCN(CCC)C=O,22687,-0.259,-1.273555517,-1.246470252
C1CC(C1)C=O,12431621,-0.34,-1.232,-1.138
CCC(C)(CC)O,6493,-0.13,-1.274,-1.248
CCOC(=O)C1CCOCC1,13467581,-0.394,-1.255,-1.216
C=CCOC(=O)OCC=C,84764,-0.606,-1.263,-1.231
C[Si](C)(C)C1=NC=CS1,588453,-0.488,-1.276,-1.251
CC(C)C(=O)CC#N,10129921,-0.678,-1.306,-0.935
CCOCCCO,8109,-0.206,-1.26,-1.226
CCCSC(=O)C,61295,-0.162,-1.23,-1.116
CC(C)OCC1CO1,19920,-0.198,-1.334,-0.912
CC(=O)CCC=C,7989,-0.251,-1.229,-1.107
CC(=O)CC(=O)C(C)(C)C,81741,-0.261,-1.334,-0.911
CC(=O)OCSC,167540,-0.425,-1.229,-1.101
CC1CCC(CC1C)O,97960,-0.216,-1.275,-1.252
CN(C(=O)C(F)(F)F)OC,2782382,-0.603,-1.228,-1.11
CC(=O)OCCCC=C,74096,-0.493,-1.255,-1.222
CC1CC(CC(C1)O)C,21584,-0.001,-1.228,-1.079
C[C@H](C[C@@H](C)O)O,2723683,-0.565,-1.714,-1.124
C[C@@H](COC)O,6993459,-0.745,-1.656,-1.269
CCOC(CC#N)OCC,74851,-0.165,-1.342,-0.901
COC(OC)OC,9005,-0.324,-1.279344481,-1.265478623
CC1(OCC=CCO1)C,392707,-0.393,-1.234,-1.18
CCCCOCC(C)O,21210,-0.178,-1.250853717,-1.223321199
C[C@@H](COC)OC(=O)C,6950547,-0.771,-1.263477974,-1.245141378
CC(=O)CC(C)(C)O,31256,-0.634,-1.254,-1.231
CC(C)(CO)C(=O)OC,84152,-0.391,-1.28,-0.95
CC1=CC(=NO1)C,9312,-0.489,-1.269,-1.259
CN1CCN(CC1)N,81349,-0.195,-1.632,-1.301
C[C@@H](C(=O)C)OC(=O)C,641833,-0.486,-1.334,-0.899
CC(=O)N1CCCC1,77650,-0.629,-1.657,-1.278
CCC(CC)CO,7358,-0.218,-1.226,-1.173
CCO[Si](C)(C)CCCN,87575,-0.473,-1.262,-1.253
CC(=O)C1CCOCC1,9877365,-0.413,-1.217,-1.094
CC(=O)CC(=O)C,31261,-0.135,-1.266,-0.958
CCSCCCO,87762,-0.283,-1.279,-1.28
CC=CCO,20024,-0.25,-1.232,-1.205
C/C=C/CO,637922,-0.244,-1.232,-1.206
C=CCN1CCOCC1,136522,-0.154,-1.214,-1.085
CC[C@@H](C(C)C)O,6999800,-0.241,-1.252,-1.247
CN1CCCC(C1)O,98016,-0.343,-1.231,-1.207
CC1(CCC(CC1)O)C,136735,-0.248,-1.266,-1.268
CCCC=CCO,13577,-0.371,-1.243,-1.233
CC(=O)CC(=O)OC,7757,-0.606,-1.249740933,-1.245021677
CCCC[Si](OC)(OC)OC,70601,-0.576,-1.247240201,-1.241240865
CC(C)C(=O)SC,537722,-0.243,-1.211,-1.118
CC(C)(C)OC(=O)CO,11815394,-0.34,-1.258,-0.961
CNCC(=O)OC,83545,-0.034,-1.674,-0.95
C1CC1CCO,137642,-0.376,-1.23,-1.209
CCCC(C=C)O,20928,-0.149,-1.232,-1.215
CCC[C@@H](C=C)O,6999854,-0.341,-1.232,-1.215
C1CC2CC1C[C@H]2O,12313475,-0.199,-1.245,-1.241
CCCC(C)O,22386,-0.032,-1.23,-1.211
CC1=CC(=NC=C1)F,2737403,-0.262,-1.25852524,-1.262012688
CN1CCC(C1)O,93074,-1.149,-1.544,-1.36
CC(=O)C(OC)OC,80650,-0.313,-1.280553772,-1.289134011
CC(C)OC(=O)CCS,21623970,-0.465,-1.286,-0.925
CC1(OC[C@@H](O1)CO)C,736057,-0.614,-1.618,-1.326
C1C[C@H]2C[C@@H]1[C@H]3[C@@H]2O3,11789154,-0.202,-1.213,-1.161
C[C@@H](C(C)C)O,6999784,-0.211,-1.227,-1.208
CC1CCCC(C1)O,11566,-0.116,-1.221,-1.192
C1C[C@@H]2C[C@H]1C[C@H]2O,10855417,-0.205,-1.244,-1.243
CC(C(=O)OC)OC,86599,-0.028,-1.225728022,-1.013311819
CCOC(=N)C,65066,-0.043,-1.279,-1.291
CNC(=O)OC,81151,-0.286,-1.249468517,-1.253578077
CC(C)(CCO)OC,62118,-0.461,-1.211,-1.159
C1CC2CC1C3C2O3,18463,-0.211,-1.212,-1.165
CC(C)SC#N,246911,-0.447,-1.206,-1.119
CC(=O)CC(C)(C)OC,7884,-0.398,-1.714,-1.006
CCOC(C(F)(F)F)O,9897,-0.175,-1.207,-1.073
CCC(CC)O,11428,-0.074,-1.23,-1.225
CC(=O)CC(C)(C)S,88290,-0.345,-1.204,-1.12
CC(C)CN1CCOCC1,66306,-0.235,-1.214,-1.183
CC[C@H](C)CO,2723602,-0.176,-1.201,-1.096
CCOC(=O)C(C)C(=O)C,701,-0.644,-1.221,-1.006
C1CCC(C1)CCCO,69842,-0.273,-1.233,-1.24
C[C@@H](CC(C)C)O,6994471,-0.196,-1.221,-1.216
CC/C=C\CCC=O,5362814,-0.173,-1.2,-1.087
CC(OC(=O)C)OC(=O)C,222536,-0.579,-1.235111773,-1.245129124
C[Si](C)(C)CO,76692,-0.168,-1.263,-1.285
C1CCC(CC1)CCO,20508,-0.187,-1.242,-1.257
CCOC(=O)C=CN(C)C,121015,-0.581,-1.205,-1.048
C1CCC(=O)C=CC1,70723,-0.438,-1.236973658,-0.968993361
CC(=O)/C=C/N(C)C,5369152,-0.637,-1.735,-1.044
CCOC(=O)[C@@H](C)C(=O)C,643167,-0.152,-1.219,-1.002
CCOC(=O)CCOC,82767,-0.499,-1.231345623,-1.244391819
CC(C)[C@H](CO)N,6950587,-0.353,-1.202,-1.167
CCC/C=C\CCO,5364517,-0.219,-1.28539169,-1.312549085
CCOC(=O)C=C1COC1,53308471,-0.648,-1.212,-1.204
CCC(=O)CC(=O)OC,121699,-0.643,-1.214,-1.01
CCN=C=NC(C)(C)C,4594009,-0.362,-1.292,-1.32
CC=CC(=O)OC=C,61774,-0.392,-1.196,-1.081
C/C=C/C(=O)OC=C,5365800,-0.145,-1.196,-1.077
CC(C(=O)C)OC(=O)C,521246,-0.414,-1.325,-0.875
CN1CCC[C@H]1CO,643492,-0.356,-1.217,-1.221
CO[Si](CC=C)(OC)OC,75698,-0.604,-1.209,-1.019
CC(CO)C(=O)OC,521128,-0.656,-1.53,-0.84
CC(=O)C(C)(OC)OC,140871,-0.481,-1.53,-0.84
CC(COC)C(=O)OC,107177,-0.041,-1.53,-0.84
CC(=O)CC(=O)OC(C)(C)C,15538,-0.466,-1.53,-0.84
CC(C)(C)OCC(=O)O,2760998,-0.841,-1.53,-0.84
COCCCO,74116,-0.445,-1.217,-1.222
COC(CO)OC,542381,-0.69,-1.273175527,-1.305629684
COC(=O)OCC(F)F,15985040,-0.589,-1.194,-1.078
COC1CCNCC1,77666,-0.39,-1.193,-1.088
CCC(C)CO,8723,-0.177,-1.202,-1.185
CCOC(=O)OCC,7766,-0.153,-1.2,-1.178
CC(C)(C(C)(C)O)O,6425,-0.638,-1.252925433,-1.285293135
CCC[C@H](CC)O,638098,-0.186,-1.223,-1.24
CC1(OC[C@H](O1)CO)C,736056,-0.401,-1.226202699,-0.973860138
CC(=O)CCC(=O)OC,69354,-0.733,-1.687,-0.933
C1CCC(C1)CCO,69833,-0.175,-1.236,-1.264
CC1(COC1)CN,15789550,-0.427,-1.251370163,-1.285791092
C1CC2CC1C[C@@H]2O,12313474,-0.232,-1.213,-1.224
COC(CC(=O)OC)OC,81924,-0.035,-1.718,-0.976
CC[C@H](C)CCO,641003,-0.218,-1.223,-1.246
COC(C(=O)OC)OC,66647,-0.455,-1.188,-1.118
CC(C)(C)C(=O)N(C)OC,11446410,-0.432,-1.239929226,-1.273399003
CCOC(=O)C(=O)OCC,7268,-0.07,-1.22,-0.979
CCCC(C)(C)O,11543,-0.141,-1.25,-1.287
