,SMILES,Dipole moments (Debye),charge status (extar electron number)
98,[NH3+]CCCCCC[NH3+],3.477395433,-2
99,CC(C)CCN,1.276394177,0
100,C[NH3+],2.160851621,-1
101,C1COCCN1,0.448207351,0
102,CCCCCCCCN,1.072226156,0
103,CCCCCN,1.34626068,0
104,NCCc1ccccc1,1.088889618,0
105,Nc1ccccc1,1.731838012,0
106,C1CNCCN1,0.00951856,0
107,C1CCNCC1,1.15491571,0
108,C1CC[NH2+]CC1,3.806711314,-1
109,NCCCN,1.664328832,0
110,C1CCNC1,1.266732736,0
111,C1CN2CCC1CC2,1.051880795,0
112,CC(C)(C)N,1.169269166,0
113,CN(C)C,0.406890608,0
